Model,MRR@10,nDCG@10,Recall@10,Avg. Query Time (ms)
Fine-Tuned Model,0.8934809067396925,0.9179521331352437,0.9904153354632588,9.722775163741918
Fine-Tuned Model (Function Names),0.6847887823926162,0.7392016811283229,0.9105431309904153,8.960209715480621
