Model,MRR@10,nDCG@10,Recall@10,Avg. Query Time (ms)
Base Model,0.8543929712460062,0.886076997725596,0.9808306709265175,9.51359751887215
Fine-Tuned Model,0.8934809067396925,0.9179521331352437,0.9904153354632588,9.213930501724585
